Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Maturity,Age (Years),Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFOS,PFOSA,PFOA,PFHxS
#15 Kannan et al (2005),K15-32,NA,NA,NA,NA,NA,Lake Michigan,"Calumet River, Calumet Harbor",41.73369034,-87.52451661,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,1,NA,7/1/99,1999,<2,<2,<5,<1
#15 Kannan et al (2005),K15-33,1.4,NA,NA,NA,NA,Lake Michigan,Calumet River,41.65599597,-87.57086495,Bivalvia,Zebra mussel,Bulk composite,1,NA,9/1/98,1998,<2,<2,<5,<1
#15 Kannan et al (2005),K15-34,1.45,NA,NA,NA,NA,Lake Michigan,Calumet River,41.65599597,-87.57086495,Bivalvia,Zebra mussel,Bulk composite,1,NA,9/1/98,1998,<2,<2,<5,<1
#15 Kannan et al (2005),K15-35,1.55,NA,NA,NA,NA,Lake Michigan,Calumet River,41.65599597,-87.57086495,Bivalvia,Zebra mussel,Bulk composite,1,NA,7/1/99,1999,<2,<2,<5,<1
#15 Kannan et al (2005),K15-36,9.05,NA,NA,NA,NA,Lake Michigan,"Calumet River, Calumet Harbor",41.73369034,-87.52451661,Astacoidea,Crayfish,Bulk composite,1,NA,7/1/99,1999,3.7,<1,<0.2,<2
#15 Kannan et al (2005),K15-37,8.45,NA,NA,NA,NA,Lake Michigan,"Calumet River, Calumet Harbor",41.73369034,-87.52451661,Pisces,Round goby,Composite whole fish homogenate,1,NA,7/1/99,1999,4.1,<1,<0.2,<2
#15 Kannan et al (2005),K15-38,28.5,NA,NA,NA,NA,Lake Michigan,"Calumet River, Calumet Park",41.71955055,-87.52395676,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,5/1/98,1998,5.1,<1,<0.2,<2
#15 Kannan et al (2005),K15-39,34.5,NA,NA,NA,NA,Lake Michigan,"Calumet River, Calumet Harbor",41.73369034,-87.52451661,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,8/1/99,1999,7.6,<1,<2,<1
#15 Kannan et al (2005),K15-40,38.5,NA,NA,NA,NA,Lake Michigan,Calumet River,41.65599597,-87.57086495,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,5/1/98,1998,2.5,<1,<2,<1
#15 Kannan et al (2005),K15-41,42,NA,NA,NA,NA,Lake Michigan,Calumet River,41.65599597,-87.57086495,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,5/1/98,1998,2.6,<1,<2,<1
#15 Kannan et al (2005),K15-42,NA,NA,NA,NA,NA,Lake Huron,Thunder Bay,44.98479597,-83.24128128,Pisces,Lake whitefish,Eggs,1,1,NA,2000,145,<19,<36,<34
#15 Kannan et al (2005),K15-43,NA,NA,NA,NA,NA,Lake Huron,Thunder Bay,44.98479597,-83.24128128,Pisces,Lake whitefish,Eggs,1,1,NA,2000,381,<19,<36,<34
#15 Kannan et al (2005),K15-44,NA,NA,NA,NA,NA,Lake Superior,Marquette,46.58513218,-87.42920828,Pisces,Brown trout,Eggs,1,1,NA,1999,68,<19,<18,<34
#15 Kannan et al (2005),K15-45,NA,NA,NA,NA,NA,Lake Superior,Marquette,46.58513218,-87.42920828,Pisces,Brown trout,Eggs,1,1,NA,1999,49,<19,<18,<34
#15 Kannan et al (2005),K15-46,NA,NA,NA,NA,NA,Lake Superior,Marquette,46.58513218,-87.42920828,Pisces,Brown trout,Eggs,1,1,NA,1999,75,<19,<18,<34
