Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Age (Years),d13C,d15N,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBS,PFBA,PFDS,PFDA,PFDoA,PFHpA,PFHxDA,PFHxS,PFHxA,PFNA,PFOS,PFOA,PFPeA,PFTeDA,PFTrDA,PFUnA
#38 Ren et al (2022),LHBloater20171413003,11.285,11.6815,NA,NA,-25.7,8.3,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Bloater,Composite whole fish homogenate,1,20,10/17/17,2017,<0.052,ND,<0.12,0.978507955,0.369829778,ND,ND,0.069343083,0.084752658,1.363747308,1.132603696,0.100162232,ND,0.200324463,1.14801327,1.40997603
#38 Ren et al (2022),LHDeepwaterSculpin20170710001,9.27,7.742,NA,NA,-23.7,10.6,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Deepwater sculpin,Composite whole fish homogenate,1,10,10/22/17,2017,0.333927112,ND,ND,1.722360893,0.395440001,0.070300445,<0.11,1.177532447,<0.059,6.520366237,14.32371559,4.973756456,ND,0.246051556,1.29177067,1.748723559
#38 Ren et al (2022),LHDeepwaterSculpin20170710002,9.133333333,8.206666667,NA,NA,-23.7,10.6,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Deepwater sculpin,Composite whole fish homogenate,1,9,10/22/17,2017,0.178859589,ND,ND,2.003227398,0.429263014,0.098372774,<0.11,1.493477569,<0.059,7.288528257,17.37620908,3.917025002,ND,0.268289384,1.350389898,2.128429111
#38 Ren et al (2022),LHDeepwaterSculpin20170710003,9.111111111,8.117777778,NA,NA,-23.7,10.6,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Deepwater sculpin,Composite whole fish homogenate,1,9,10/22/17,2017,0.157652869,ND,ND,1.727015523,0.422796331,0.193483067,<0.11,1.232558796,0.064494356,5.45335607,14.70471308,3.253381939,ND,0.250811383,1.275555034,1.805841958
#38 Ren et al (2022),LHDeepwaterSculpin20171413001,9.1,8.585,NA,NA,-23.4,10,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Deepwater sculpin,Composite whole fish homogenate,1,2,10/18/17,2017,0.139703753,ND,ND,1.693908008,0.349259383,ND,<0.11,1.353380109,0.192092661,9.438734826,13.23693062,14.92210714,ND,0.244481568,1.178750418,1.597861677
#38 Ren et al (2022),LHDeepwaterSculpin20171413002,9.9,8.615,NA,NA,-23.4,10,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Deepwater sculpin,Composite whole fish homogenate,1,2,10/18/17,2017,0.145326932,0.072663466,ND,1.7923655,0.41983336,ND,ND,1.58244882,1.364458421,8.525846702,4.085301545,14.65379902,ND,0.234137836,1.42097445,2.333304637
#38 Ren et al (2022),LHDeepwaterSculpin20171413003,9.3,7.565,NA,NA,-23.4,10,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Deepwater sculpin,Composite whole fish homogenate,1,2,10/18/17,2017,<0.052,<0.021,ND,1.242552441,0.36786092,ND,ND,0.817468711,0.179843117,4.095518244,1.978274282,2.256213644,ND,0.204367178,1.234377754,1.430570245
#38 Ren et al (2022),LHFE_118_um_6_20_2017,NA,NA,NA,NA,-36.6,6.34,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,"Shrimp, water fleas, and allies",Zooplankton,Bulk composite,1,NA,6/20/17,2017,0.144826892,ND,ND,ND,<0.083,ND,ND,0.102230747,0.093711518,<0.071,0.570788339,<0.048,ND,<0.081,<0.097,ND
#38 Ren et al (2022),LHFE_2017_MYSIS,NA,NA,NA,NA,-24.1,8.31,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,"Shrimp, water fleas, and allies",Mysis relicta,Bulk composite,1,NA,6/20/17,2017,0.742619998,<0.021,ND,0.705488999,0.148524,ND,ND,<0.051,1.175814998,3.069495994,3.799738992,2.190728995,ND,0.086639,0.519833999,1.076798998
#38 Ren et al (2022),LHFE_243_um_6_20_2017,NA,NA,NA,NA,-36.6,6.34,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,"Shrimp, water fleas, and allies",Zooplankton,Bulk composite,1,NA,6/20/17,2017,0.138370482,ND,ND,ND,<0.083,ND,ND,0.179067683,0.122091602,<0.071,0.830222892,<0.048,ND,ND,<0.097,<0.12
#38 Ren et al (2022),LHFE_500_um_6_20_2017,NA,NA,NA,NA,-36.6,6.34,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,"Shrimp, water fleas, and allies",Zooplankton,Bulk composite,1,NA,6/20/17,2017,0.11922135,ND,ND,ND,<0.083,ND,ND,0.09537708,0.14306562,<0.071,0.786860913,<0.048,ND,ND,<0.097,ND
#38 Ren et al (2022),LHFE_63_um__6_20_2017,NA,NA,NA,NA,-36.6,6.34,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,"Shrimp, water fleas, and allies",Zooplankton,Bulk composite,1,NA,6/20/17,2017,0.257848404,0.035812278,ND,ND,ND,ND,ND,0.071624557,0.121761746,ND,0.300823138,<0.048,ND,<0.081,<0.097,<0.12
#38 Ren et al (2022),LHFO_118_um_6_21_17,NA,NA,NA,NA,-37,3.8,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,"Shrimp, water fleas, and allies",Zooplankton,Bulk composite,1,NA,6/21/17,2017,0.070015011,0.166285651,ND,ND,ND,ND,ND,0.061263135,0.201293156,ND,0.245052538,<0.048,ND,ND,<0.097,ND
#38 Ren et al (2022),LHFO_2017_MYSIS,NA,NA,NA,NA,-24.6,7.1,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,"Shrimp, water fleas, and allies",Mysis relicta,Bulk composite,1,NA,6/21/17,2017,0.199101027,0.431385559,ND,0.132734018,ND,ND,ND,0.464569064,0.165917523,1.028688642,0.962321632,0.763220605,ND,ND,0.132734018,0.829587614
#38 Ren et al (2022),LHFO_2017_zoop_500um_1LD_avg,NA,NA,NA,NA,-37,3.8,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,"Shrimp, water fleas, and allies",Zooplankton,Bulk composite,2,NA,6/21/17,2017,0.052,ND,ND,ND,ND,ND,ND,0.107469145,<0.059,<0.071,0.741783692,<0.048,ND,ND,<0.097,<0.12
#38 Ren et al (2022),LHFO_2017_zoop_500um_2,NA,NA,NA,NA,-37,3.8,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,"Shrimp, water fleas, and allies",Zooplankton,Bulk composite,1,NA,6/21/17,2017,<0.052,ND,ND,ND,<0.083,ND,ND,0.059725505,<0.059,<0.071,0.767899352,<0.048,ND,ND,0.110918795,<0.12
#38 Ren et al (2022),LHFO_2017_zoop_500um_3,NA,NA,NA,NA,-37,3.8,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,"Shrimp, water fleas, and allies",Zooplankton,Bulk composite,1,NA,6/21/17,2017,0.076887376,ND,ND,ND,<0.083,ND,ND,0.085430418,ND,0.119602585,1.221654978,<0.048,ND,<0.081,0.179403878,ND
#38 Ren et al (2022),LHFO_2017_zoop_500um_4,NA,NA,NA,NA,-37,3.8,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,"Shrimp, water fleas, and allies",Zooplankton,Bulk composite,1,NA,6/21/17,2017,0.05634799,0.024149139,ND,<0.075,ND,ND,ND,0.05634799,<0.059,0.201242822,2.068776208,<0.048,ND,<0.081,0.185143396,<0.12
