Author (Citation),Sample ID,Total Length (cm),Sex Ratio,Maturity,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Sampling Year,PFBS,PFHxS,PFOS,PFDS,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA,PFODA
#49 Conard et al (2022),520M,52,0,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Chinook salmon,Muscle,1,1,2020,0.05,<0.001,0.3,<0.001,<1.315,<0.376,<0.088,1.08,<0.291,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),539M,53.9,0,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Chinook salmon,Muscle,1,1,2020,1.01,<0.001,6.8,<0.001,4.72,2.49,6.82,11.16,<0.291,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),540M,54,0,Adult (Sexually Mature),Lake Michigan,Boardman River,44.7201789,-85.61941633,Pisces,Coho salmon,Muscle,1,1,2020,<0.001,<0.001,1.5,<0.001,<0.395,<0.376,<0.088,0.51,<0.291,<0.14,<0.277,<0.065,0.48,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),545M,54.5,0,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Chinook salmon,Muscle,1,1,2020,0.17,<0.001,0.4,<0.001,<1.315,<0.113,<0.294,<0.089,<0.291,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),560M,56,0,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Chinook salmon,Muscle,1,1,2020,0.36,<0.001,11,<0.001,2.96,1.37,<0.088,2.57,<0.291,<0.14,<0.277,<0.065,1.91,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),590M,59,0,Adult (Sexually Mature),Lake Michigan,Boardman River,44.7201789,-85.61941633,Pisces,Steelhead trout,Muscle,1,1,2020,1.34,<0.001,7.2,<0.001,<0.395,<0.376,<0.088,<0.296,<0.291,<0.466,<0.277,<0.065,1.13,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),600M,60,0,Adult (Sexually Mature),Lake Michigan,Boardman River,44.7201789,-85.61941633,Pisces,Coho salmon,Muscle,1,1,2020,<0.001,<0.001,5.6,<0.001,<0.395,0.59,<0.088,0.85,<0.291,<0.14,<0.083,<0.065,1.59,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),630F,63,1,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Steelhead trout,Muscle,1,1,2020,2.39,0.58,8,<0.001,2.03,0.88,3.31,12.32,2.73,<0.14,<0.277,<0.065,<0.033,<0.016,<0.015,<0.034,0.67
#49 Conard et al (2022),630F-E,63,NA,NA,Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Steelhead trout,Eggs,1,1,2020,20.52,0.45,147,<0.001,3.15,0.77,<0.088,18.33,<0.291,1.49,2.13,2.23,7.94,1.34,<0.015,<0.034,<0.009
#49 Conard et al (2022),640F,64,1,Adult (Sexually Mature),Lake Michigan,Kewaunee River,44.45845187,-87.54198355,Pisces,Steelhead trout,Muscle,1,1,2020,0.62,<0.001,4.1,<0.001,<0.395,0.79,<0.088,0.83,<0.291,<0.14,<0.277,<0.065,0.7,<0.016,<0.015,<0.034,<0.009
