Author (Citation),Sample ID,Maturity,Age (Years),Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Sampling Year,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFBS,PFHxS,PFOS,PFOSA,PFDS
#63 Custer et al (2014),R556,Nestling,0.0328767,Lake Superior; Lake Michigan,Root River,43.7646833,-91.365425,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,5.5,2.89,1.38,1.46,<0.50,<0.20,1.79,50,<0.20,9.48
#63 Custer et al (2014),R558,Nestling,0.0328767,Lake Superior; Lake Michigan,Root River,43.7646833,-91.365425,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,3.66,2.29,1.17,0.97,<0.50,<0.20,1.19,32,<0.20,3.99
#63 Custer et al (2014),R571,Nestling,0.0328767,Lake Superior; Lake Michigan,Root River,43.7646833,-91.365425,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,3.93,2.7,1.13,1.53,<0.50,<0.20,1.13,34,<0.20,5.79
#63 Custer et al (2014),R573,Nestling,0.0328767,Lake Superior; Lake Michigan,Root River,43.7646833,-91.365425,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,4.21,2.76,1.25,1.51,<0.50,<0.20,1.55,36,<0.20,3.01
#63 Custer et al (2014),MGM701-L,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,<1.0,<0.5,<3.1
#63 Custer et al (2014),MGM705-L,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,<1.0,<0.5,<3.1
#63 Custer et al (2014),MGM706-L,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,<1.0,<0.5,<3.1
#63 Custer et al (2014),MGM707-L,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,<1.0,<0.5,<3.1
#63 Custer et al (2014),MGM712-L,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,42.4,<0.5,<3.1
#63 Custer et al (2014),MGM713-L,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,<1.0,<0.5,<3.1
#63 Custer et al (2014),MGM715-L,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,<1.0,<0.5,<3.1
#63 Custer et al (2014),MGM716-L,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,<1.0,<0.5,<3.1
#63 Custer et al (2014),MGM718-L,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,<1.0,<0.5,<3.1
#63 Custer et al (2014),LJ740-La,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2008,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,66.5,<0.5,<3.1
#63 Custer et al (2014),LJ756-La,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2008,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,61.1,<0.5,<3.1
#63 Custer et al (2014),LJ767-La,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2008,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,76.6,4.98,<3.1
#63 Custer et al (2014),MLJ730-L,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,32.4,<0.5,<3.1
#63 Custer et al (2014),MLJ731-L,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,55.4,<0.5,<3.1
#63 Custer et al (2014),MLJ739-L,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,59.9,<0.5,<3.1
#63 Custer et al (2014),MLJ741-L,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,78.4,<0.5,<3.1
#63 Custer et al (2014),MLJ758-L,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,72.3,<0.5,<3.1
#63 Custer et al (2014),MLJ759-L,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,84.7,5,<3.1
#63 Custer et al (2014),MLJ762-L,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,107,<0.5,<3.1
#63 Custer et al (2014),MLJ765-L,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,82.2,<0.5,<3.1
#63 Custer et al (2014),MLJ766-L,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,67.4,<0.5,<3.1
#63 Custer et al (2014),MLJ767-L,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,5.67,8.2,<0.5,<1.19,<2.37,<2.37,93.6,<0.5,<3.1
#63 Custer et al (2014),MLJ768-L,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,85.2,<0.5,<3.1
#63 Custer et al (2014),MLJ769-L,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,<0.6,<0.93,<1.06,<0.5,<1.19,<2.37,<2.37,70.3,<0.5,<3.1
#63 Custer et al (2014),MPT 803-L,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,0.61,0.93,0.87,<0.5,<1.19,<2.37,<2.37,34.8,0.5,5
#63 Custer et al (2014),MPT 806-L,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,2.6,2.64,1.69,<0.5,<1.19,<2.37,<2.37,66.5,<0.5,8.5
#63 Custer et al (2014),MPT 811-L,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,1.4,1.21,1.43,<0.5,<1.19,<2.37,<2.37,55.1,<0.5,5.2
#63 Custer et al (2014),MPT 815-L,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,0.9,1.74,1.6,0.7,<1.19,<2.37,<2.37,51.1,<0.5,4.8
#63 Custer et al (2014),MPT 820-L,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,1.5,1.4,1.06,<0.5,<1.19,<2.37,<2.37,41,<0.5,3.1
#63 Custer et al (2014),MPT 830-L,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Liver,1,NA,2009,<1.19,<1.19,<1.19,<1.19,1.6,1.64,1.33,0.5,<1.19,<2.37,<2.37,81.2,<0.5,12.8
#63 Custer et al (2014),MGM701-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2009,<0.5,<0.5,<0.3,<0.75,<0.40,7.29,<0.44,<0.44,<0.2,<12.0,<0.20,18.6,<0.17,<0.2
#63 Custer et al (2014),MGM704-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2009,<0.5,<0.5,<0.3,<0.75,<0.40,<0.5,<0.44,<0.44,<0.2,<12.0,<0.20,<1.0,<0.17,<0.2
#63 Custer et al (2014),MGM705-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2009,<0.5,<0.5,<0.3,<0.75,<0.40,7.49,<0.44,<0.44,<0.2,<12.0,<0.20,<1.0,<0.17,<0.2
#63 Custer et al (2014),MGM706-P,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2009,<0.5,<0.5,<0.3,<0.75,<0.40,<0.5,<0.44,<0.44,<0.2,<12.0,<0.20,<1.0,<0.17,<0.2
#63 Custer et al (2014),MGM707-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2009,<0.5,<0.5,<0.3,<0.75,<0.40,<0.5,<0.44,<0.44,<0.2,<12.0,<0.20,11.2,<0.17,<0.2
#63 Custer et al (2014),MGM712-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2009,<0.5,<0.5,<0.3,<0.75,<0.40,<0.5,<0.44,<0.44,<0.2,<12.0,<0.20,<1.0,<0.17,<0.2
#63 Custer et al (2014),MGM-713-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2009,<0.5,<0.5,<0.3,<0.75,<0.40,<0.5,<0.44,<0.44,<0.2,<12.0,<0.20,<1.0,<0.17,<0.2
#63 Custer et al (2014),MGM715-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2009,<0.5,<0.5,<0.3,<0.75,<0.40,<0.5,<0.44,<0.44,<0.2,<12.0,<0.20,12.4,<0.17,<0.2
#63 Custer et al (2014),MGM716-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2009,<0.5,<0.5,<0.3,<0.75,<0.40,<0.5,<0.44,<0.44,<0.2,<12.0,<0.20,<1.0,<0.17,<0.2
#63 Custer et al (2014),MGM718-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2009,<0.5,<0.5,<0.3,<0.75,<0.40,<0.5,<0.44,<0.44,<0.2,<12.0,<0.20,23.1,<0.17,<0.2
#63 Custer et al (2014),MN10GM701-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2010,<0.5,<0.5,<0.3,<0.75,0.7,7.23,2.88,1.48,0.36,<12.0,0.1,11.2,<0.05,1.89
#63 Custer et al (2014),MN10GM703-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2010,<0.5,<0.5,<0.3,<0.75,0.8,2.28,0.81,1.31,0.47,<12.0,0.12,10.3,<0.05,2.35
#63 Custer et al (2014),MN10GM705-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2010,<0.5,<0.5,<0.3,<0.75,0.8,1.81,1.33,0.53,0.21,<12.0,0.12,6.4,0.05,1.93
#63 Custer et al (2014),MN10GM706-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2010,<0.5,<0.5,<0.3,<0.75,1,5.06,2.72,1.94,0.39,<12.0,<0.05,8.9,0.05,3.17
#63 Custer et al (2014),MN10GM707-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2010,<0.5,<0.5,<0.3,<0.75,0.7,4.81,3.81,2.07,1.16,<12.0,<0.05,12.7,0.06,3.28
#63 Custer et al (2014),MN10GM708-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2010,<0.5,<0.5,<0.3,<0.75,0.6,7.54,2.52,1.66,0.32,<12.0,<0.05,14.7,0.05,2.09
#63 Custer et al (2014),MN10GM712-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2010,<0.5,<0.5,<0.3,<0.75,0.3,2.39,1.43,1.07,0.4,<12.0,<0.05,7.3,<0.05,1.21
#63 Custer et al (2014),MN10GM713-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2010,<0.5,<0.5,<0.3,<0.75,0.4,1.74,1.04,1.22,0.15,<12.0,<0.05,7.7,0.05,0.98
#63 Custer et al (2014),MN10GM714-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2010,<0.5,<0.5,<0.3,<0.75,0.6,2.09,1.78,1.11,0.34,<12.0,<0.05,11.5,0.05,2.51
#63 Custer et al (2014),MN10GM715-E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Eggs,1,1,2010,<0.5,<0.5,<0.3,<0.75,1.1,32.5,11.75,5.05,0.71,<12.0,<0.05,30,0.05,1.15
#63 Custer et al (2014),MN11GM-700 E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Composite eggs,1,2,2011,<0.5,<0.5,<0.3,<0.75,<0.40,0.94,0.67,0.97,0.24,<12.0,<0.20,4.96,<0.17,0.23
#63 Custer et al (2014),MN11GM-701 E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Composite eggs,1,2,2011,<0.5,<0.5,<0.3,<0.75,<0.40,1.46,0.71,1.83,0.31,<12.0,<0.20,6.26,<0.17,1.02
#63 Custer et al (2014),MN11GM-702 E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Composite eggs,1,2,2011,<0.5,<0.5,<0.3,<0.75,<0.40,0.59,<0.44,0.38,0.25,<12.0,<0.20,2.24,<0.17,0.66
#63 Custer et al (2014),MN11GM-705 E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Composite eggs,1,2,2011,<0.5,<0.5,<0.3,<0.75,<0.40,0.83,<0.44,1.07,0.21,<12.0,<0.20,4.16,<0.17,0.62
#63 Custer et al (2014),MN11GM-706 E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Composite eggs,1,2,2011,<0.5,<0.5,<0.3,<0.75,<0.40,0.57,<0.44,0.66,0.32,<12.0,<0.20,1.69,<0.17,0.58
#63 Custer et al (2014),MN11GM-708 E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Composite eggs,1,2,2011,<0.5,<0.5,<0.3,<0.75,<0.40,1.02,0.59,0.6,0.43,<12.0,<0.20,7.56,<0.17,0.34
#63 Custer et al (2014),MN11GM-709 E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Composite eggs,1,2,2011,<0.5,<0.5,<0.3,<0.75,0.87,2.44,1.3,2.83,0.49,<12.0,<0.20,15.42,<0.17,0.59
#63 Custer et al (2014),MN11GM-712 E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Composite eggs,1,2,2011,<0.5,<0.5,<0.3,<0.75,0.66,0.68,<0.44,0.46,<0.2,<12.0,<0.20,2.37,<0.17,0.38
#63 Custer et al (2014),MN11GM-715 E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Composite eggs,1,2,2011,<0.5,<0.5,<0.3,<0.75,0.61,0.58,0.57,1.18,0.21,<12.0,<0.20,2.61,<0.17,0.6
#63 Custer et al (2014),MN11GM-718 E,NA,NA,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Composite eggs,1,2,2011,<0.5,<0.5,<0.3,<0.75,<0.40,0.66,0.47,0.55,<0.2,<12.0,<0.20,1.55,<0.17,0.31
#63 Custer et al (2014),LJ740-P,NA,NA,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Eggs,1,1,2008,<0.5,<0.5,<0.3,<0.75,<6.0,<6.0,13.8,<6.0,<6.0,<12.0,<12.0,285,<0.5,<0.2
#63 Custer et al (2014),LJ742-Pa,NA,NA,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Eggs,1,1,2008,<0.5,<0.5,<0.3,<0.75,<6.0,<6.0,7.31,<6.0,<6.0,<12.0,<12.0,196,<0.5,<0.2
#63 Custer et al (2014),LJ756-P,NA,NA,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Eggs,1,1,2008,<0.5,<0.5,<0.3,<0.75,<6.0,<6.0,<6.0,<6.0,<6.0,<12.0,<12.0,111,<0.5,<0.2
#63 Custer et al (2014),LJ761-P,NA,NA,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Eggs,1,1,2008,<0.5,<0.5,<0.3,<0.75,<6.0,<6.0,<6.0,<6.0,<6.0,<12.0,<12.0,138,<0.5,<0.2
#63 Custer et al (2014),LJ-762,NA,NA,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Eggs,1,1,2008,<0.5,<0.5,<0.3,<0.75,<6.0,<6.0,8.45,<6.0,<6.0,<12.0,<12.0,147,<0.5,<0.2
#63 Custer et al (2014),MLJ730-E,NA,NA,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Eggs,1,1,2009,<0.5,<0.5,<0.3,<0.75,<6.0,<6.0,<6.0,<6.0,<6.0,<12.0,<12.0,96,<0.5,<0.2
#63 Custer et al (2014),MLJ730-Ea,NA,NA,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Eggs,1,1,2009,<0.5,<0.5,<0.3,<0.75,<6.0,7.6,8.87,<6.0,<6.0,<12.0,<12.0,169,<0.5,<0.2
#63 Custer et al (2014),MLJ730-Eb,NA,NA,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Eggs,1,1,2009,<0.5,<0.5,<0.3,<0.75,<6.0,24.3,22.7,<6.0,<6.0,<12.0,<12.0,449,<0.5,<0.2
